,Match ID,Date,Venue,Winner,Bowler,Runs Concided,Wickets,Economy,Ball Bowled,Opponent Team,Inning,Over Bowled
1891,1257185,2021-04-25,Harare Sports Club,Pakistan,Mohammad Hasnain,26,1,6.5,24,Zimbabwe,2,4
1894,1257185,2021-04-25,Harare Sports Club,Pakistan,Usman Qadir,17,0,8.5,12,Zimbabwe,2,2
1900,1263165,2021-07-31,Providence Stadium,Pakistan,Hasan Ali,32,2,8.0,24,West Indies,2,4
1902,1263165,2021-07-31,Providence Stadium,Pakistan,Mohammad Hafeez,6,1,1.5,24,West Indies,2,4
1903,1263165,2021-07-31,Providence Stadium,Pakistan,Mohammad Wasim,32,1,10.67,19,West Indies,2,3
1905,1263165,2021-07-31,Providence Stadium,Pakistan,Shadab Khan,22,0,5.5,25,West Indies,2,4
1906,1263165,2021-07-31,Providence Stadium,Pakistan,Shaheen Shah Afridi,44,1,11.0,25,West Indies,2,4
1907,1263165,2021-07-31,Providence Stadium,Pakistan,Usman Qadir,11,0,11.0,7,West Indies,2,1
1910,1273727,2021-10-24,Dubai International Cricket Stadium,Pakistan,Haris Rauf,25,1,6.25,26,India,1,4
1911,1273727,2021-10-24,Dubai International Cricket Stadium,Pakistan,Hasan Ali,44,2,11.0,24,India,1,4
1912,1273727,2021-10-24,Dubai International Cricket Stadium,Pakistan,Imad Wasim,10,0,5.0,12,India,1,2
1914,1273727,2021-10-24,Dubai International Cricket Stadium,Pakistan,Mohammad Hafeez,12,0,6.0,12,India,1,2
1917,1273727,2021-10-24,Dubai International Cricket Stadium,Pakistan,Shadab Khan,22,1,5.5,25,India,1,4
1918,1273727,2021-10-24,Dubai International Cricket Stadium,Pakistan,Shaheen Shah Afridi,31,3,7.75,26,India,1,4
1919,1273730,2021-10-26,Sharjah Cricket Stadium,Pakistan,Haris Rauf,22,4,5.5,24,New Zealand,1,4
1920,1273730,2021-10-26,Sharjah Cricket Stadium,Pakistan,Hasan Ali,27,1,9.0,20,New Zealand,1,3
1922,1273730,2021-10-26,Sharjah Cricket Stadium,Pakistan,Imad Wasim,24,1,6.0,24,New Zealand,1,4
1925,1273730,2021-10-26,Sharjah Cricket Stadium,Pakistan,Mohammad Hafeez,16,1,8.0,12,New Zealand,1,2
1926,1273730,2021-10-26,Sharjah Cricket Stadium,Pakistan,Shadab Khan,19,0,6.33,18,New Zealand,1,3
1927,1273730,2021-10-26,Sharjah Cricket Stadium,Pakistan,Shaheen Shah Afridi,21,1,5.25,24,New Zealand,1,4
1930,1273735,2021-10-29,Dubai International Cricket Stadium,Pakistan,Haris Rauf,37,1,9.25,25,Afghanistan,1,4
1931,1273735,2021-10-29,Dubai International Cricket Stadium,Pakistan,Hasan Ali,38,1,9.5,27,Afghanistan,1,4
1932,1273735,2021-10-29,Dubai International Cricket Stadium,Pakistan,Imad Wasim,25,2,6.25,25,Afghanistan,1,4
1938,1273735,2021-10-29,Dubai International Cricket Stadium,Pakistan,Shadab Khan,22,1,5.5,24,Afghanistan,1,4
1939,1273735,2021-10-29,Dubai International Cricket Stadium,Pakistan,Shaheen Shah Afridi,22,1,5.5,28,Afghanistan,1,4
1942,1273742,2021-11-02,Zayed Cricket Stadium,Pakistan,Haris Rauf,25,1,6.25,25,Namibia,2,4
1943,1273742,2021-11-02,Zayed Cricket Stadium,Pakistan,Hasan Ali,22,1,5.5,24,Namibia,2,4
1944,1273742,2021-11-02,Zayed Cricket Stadium,Pakistan,Imad Wasim,13,1,4.33,18,Namibia,2,3
1948,1273742,2021-11-02,Zayed Cricket Stadium,Pakistan,Mohammad Hafeez,11,1,11.0,6,Namibia,2,1
1950,1273742,2021-11-02,Zayed Cricket Stadium,Pakistan,Shadab Khan,35,1,8.75,24,Namibia,2,4
1951,1273742,2021-11-02,Zayed Cricket Stadium,Pakistan,Shaheen Shah Afridi,36,0,9.0,25,Namibia,2,4
1955,1273752,2021-11-07,Sharjah Cricket Stadium,Pakistan,Haris Rauf,27,1,6.75,25,Scotland,2,4
1956,1273752,2021-11-07,Sharjah Cricket Stadium,Pakistan,Hasan Ali,33,1,8.25,26,Scotland,2,4
1957,1273752,2021-11-07,Sharjah Cricket Stadium,Pakistan,Imad Wasim,17,1,4.25,26,Scotland,2,4
1961,1273752,2021-11-07,Sharjah Cricket Stadium,Pakistan,Shadab Khan,14,2,3.5,24,Scotland,2,4
1962,1273752,2021-11-07,Sharjah Cricket Stadium,Pakistan,Shaheen Shah Afridi,24,1,6.0,29,Scotland,2,4
1965,1273755,2021-11-11,Dubai International Cricket Stadium,Australia,Haris Rauf,32,0,10.67,18,Australia,2,3
1966,1273755,2021-11-11,Dubai International Cricket Stadium,Australia,Hasan Ali,44,0,11.0,25,Australia,2,4
1967,1273755,2021-11-11,Dubai International Cricket Stadium,Australia,Imad Wasim,25,0,8.33,18,Australia,2,3
1971,1273755,2021-11-11,Dubai International Cricket Stadium,Australia,Mohammad Hafeez,13,0,13.0,8,Australia,2,1
1973,1273755,2021-11-11,Dubai International Cricket Stadium,Australia,Shadab Khan,26,4,6.5,24,Australia,2,4
1974,1273755,2021-11-11,Dubai International Cricket Stadium,Australia,Shaheen Shah Afridi,35,1,8.75,26,Australia,2,4
1976,1277974,2021-11-19,Shere Bangla National Stadium,Pakistan,Haris Rauf,33,0,8.25,26,Bangladesh,1,4
1977,1277974,2021-11-19,Shere Bangla National Stadium,Pakistan,Hasan Ali,22,3,5.5,26,Bangladesh,1,4
1980,1277974,2021-11-19,Shere Bangla National Stadium,Pakistan,Mohammad Nawaz,27,1,6.75,25,Bangladesh,1,4
1981,1277974,2021-11-19,Shere Bangla National Stadium,Pakistan,Mohammad Wasim,24,2,6.0,26,Bangladesh,1,4
1983,1277974,2021-11-19,Shere Bangla National Stadium,Pakistan,Shadab Khan,20,1,5.0,24,Bangladesh,1,4
1988,1277975,2021-11-20,Shere Bangla National Stadium,Pakistan,Haris Rauf,13,1,4.33,18,Bangladesh,1,3
1990,1277975,2021-11-20,Shere Bangla National Stadium,Pakistan,Mohammad Nawaz,25,1,6.25,24,Bangladesh,1,4
1991,1277975,2021-11-20,Shere Bangla National Stadium,Pakistan,Mohammad Wasim,9,1,3.0,18,Bangladesh,1,3
1995,1277975,2021-11-20,Shere Bangla National Stadium,Pakistan,Shadab Khan,22,2,5.5,26,Bangladesh,1,4
1996,1277975,2021-11-20,Shere Bangla National Stadium,Pakistan,Shaheen Shah Afridi,15,2,3.75,24,Bangladesh,1,4
1997,1277975,2021-11-20,Shere Bangla National Stadium,Pakistan,Shoaib Malik,16,0,8.0,12,Bangladesh,1,2
2001,1277976,2021-11-22,Shere Bangla National Stadium,Pakistan,Haris Rauf,32,2,8.0,25,Bangladesh,1,4
2002,1277976,2021-11-22,Shere Bangla National Stadium,Pakistan,Iftikhar Ahmed,13,0,3.25,24,Bangladesh,1,4
2005,1277976,2021-11-22,Shere Bangla National Stadium,Pakistan,Mohammad Nawaz,2,0,2.0,6,Bangladesh,1,1
2006,1277976,2021-11-22,Shere Bangla National Stadium,Pakistan,Mohammad Wasim,15,2,3.75,24,Bangladesh,1,4
2008,1277976,2021-11-22,Shere Bangla National Stadium,Pakistan,Shahnawaz Dhani,24,1,8.0,19,Bangladesh,1,3
2011,1277976,2021-11-22,Shere Bangla National Stadium,Pakistan,Usman Qadir,35,2,8.75,24,Bangladesh,1,4
2014,1287773,2021-12-13,National Stadium,Pakistan,Haris Rauf,21,1,7.0,18,West Indies,2,3
2015,1287773,2021-12-13,National Stadium,Pakistan,Mohammad Nawaz,24,1,6.0,24,West Indies,2,4
2016,1287773,2021-12-13,National Stadium,Pakistan,Mohammad Wasim,40,4,10.0,27,West Indies,2,4
2020,1287773,2021-12-13,National Stadium,Pakistan,Shadab Khan,17,3,4.25,24,West Indies,2,4
2021,1287773,2021-12-13,National Stadium,Pakistan,Shaheen Shah Afridi,35,1,8.75,26,West Indies,2,4
2025,1287774,2021-12-14,National Stadium,Pakistan,Haris Rauf,40,2,10.0,25,West Indies,2,4
2026,1287774,2021-12-14,National Stadium,Pakistan,Mohammad Nawaz,36,2,9.0,25,West Indies,2,4
2027,1287774,2021-12-14,National Stadium,Pakistan,Mohammad Wasim,39,2,9.75,24,West Indies,2,4
2031,1287774,2021-12-14,National Stadium,Pakistan,Shadab Khan,22,0,5.5,24,West Indies,2,4
2032,1287774,2021-12-14,National Stadium,Pakistan,Shaheen Shah Afridi,26,4,6.5,27,West Indies,2,4
2036,1287775,2021-12-16,National Stadium,Pakistan,Iftikhar Ahmed,15,0,15.0,6,West Indies,1,1
2037,1287775,2021-12-16,National Stadium,Pakistan,Mohammad Hasnain,49,0,12.25,25,West Indies,1,4
2038,1287775,2021-12-16,National Stadium,Pakistan,Mohammad Nawaz,36,0,12.0,18,West Indies,1,3
2039,1287775,2021-12-16,National Stadium,Pakistan,Mohammad Wasim,44,2,11.0,25,West Indies,1,4
2043,1287775,2021-12-16,National Stadium,Pakistan,Shadab Khan,36,0,9.0,28,West Indies,1,4
2044,1287775,2021-12-16,National Stadium,Pakistan,Shahnawaz Dhani,23,1,5.75,25,West Indies,1,4
2048,1288316,2022-04-05,Gaddafi Stadium,Australia,Haris Rauf,35,1,11.67,19,Australia,2,3
2049,1288316,2022-04-05,Gaddafi Stadium,Australia,Hasan Ali,30,0,10.0,18,Australia,2,3
2050,1288316,2022-04-05,Gaddafi Stadium,Australia,Khushdil Shah,9,0,9.0,6,Australia,2,1
2051,1288316,2022-04-05,Gaddafi Stadium,Australia,Mohammad Wasim,30,2,7.5,25,Australia,2,4
2054,1288316,2022-04-05,Gaddafi Stadium,Australia,Shaheen Shah Afridi,21,2,5.25,25,Australia,2,4
2056,1288316,2022-04-05,Gaddafi Stadium,Australia,Usman Qadir,33,2,8.25,26,Australia,2,4
2061,1298150,2022-10-23,Melbourne Cricket Ground,India,Haris Rauf,36,2,9.0,25,India,2,4
2062,1298150,2022-10-23,Melbourne Cricket Ground,India,Mohammad Nawaz,42,2,10.5,27,India,2,4
2064,1298150,2022-10-23,Melbourne Cricket Ground,India,Naseem Shah,23,1,5.75,24,India,2,4
2066,1298150,2022-10-23,Melbourne Cricket Ground,India,Shadab Khan,21,1,5.25,24,India,2,4
2067,1298150,2022-10-23,Melbourne Cricket Ground,India,Shaheen Shah Afridi,34,0,8.5,25,India,2,4
2070,1298158,2022-10-27,Perth Stadium,Zimbabwe,Haris Rauf,12,1,3.0,24,Zimbabwe,1,4
2072,1298158,2022-10-27,Perth Stadium,Zimbabwe,Mohammad Wasim,24,4,6.0,28,Zimbabwe,1,4
2073,1298158,2022-10-27,Perth Stadium,Zimbabwe,Naseem Shah,34,0,8.5,26,Zimbabwe,1,4
2077,1298158,2022-10-27,Perth Stadium,Zimbabwe,Shadab Khan,23,3,5.75,24,Zimbabwe,1,4
2078,1298158,2022-10-27,Perth Stadium,Zimbabwe,Shaheen Shah Afridi,29,0,7.25,24,Zimbabwe,1,4
2082,1298163,2022-10-30,Perth Stadium,Pakistan,Haris Rauf,10,2,3.33,18,Netherlands,1,3
2084,1298163,2022-10-30,Perth Stadium,Pakistan,Mohammad Nawaz,11,0,5.5,12,Netherlands,1,2
2085,1298163,2022-10-30,Perth Stadium,Pakistan,Mohammad Wasim,15,2,5.0,19,Netherlands,1,3
2086,1298163,2022-10-30,Perth Stadium,Pakistan,Naseem Shah,11,2,2.75,24,Netherlands,1,4
2089,1298163,2022-10-30,Perth Stadium,Pakistan,Shadab Khan,22,3,5.5,24,Netherlands,1,4
2090,1298163,2022-10-30,Perth Stadium,Pakistan,Shaheen Shah Afridi,19,1,4.75,25,Netherlands,1,4
2093,1298170,2022-11-03,Sydney Cricket Ground,Pakistan,Haris Rauf,44,2,14.67,19,South Africa,2,3
2096,1298170,2022-11-03,Sydney Cricket Ground,Pakistan,Mohammad Nawaz,2,0,2.0,6,South Africa,2,1
2097,1298170,2022-11-03,Sydney Cricket Ground,Pakistan,Mohammad Wasim,13,1,6.5,12,South Africa,2,2
2098,1298170,2022-11-03,Sydney Cricket Ground,Pakistan,Naseem Shah,19,1,6.33,19,South Africa,2,3
2099,1298170,2022-11-03,Sydney Cricket Ground,Pakistan,Shadab Khan,16,2,8.0,12,South Africa,2,2
2100,1298170,2022-11-03,Sydney Cricket Ground,Pakistan,Shaheen Shah Afridi,14,3,4.67,18,South Africa,2,3
2104,1298175,2022-11-06,Adelaide Oval,Pakistan,Haris Rauf,21,1,5.25,24,Bangladesh,1,4
2105,1298175,2022-11-06,Adelaide Oval,Pakistan,Iftikhar Ahmed,15,1,5.0,18,Bangladesh,1,3
2106,1298175,2022-11-06,Adelaide Oval,Pakistan,Mohammad Wasim,19,0,9.5,13,Bangladesh,1,2
2108,1298175,2022-11-06,Adelaide Oval,Pakistan,Naseem Shah,15,0,5.0,18,Bangladesh,1,3
2110,1298175,2022-11-06,Adelaide Oval,Pakistan,Shadab Khan,30,2,7.5,24,Bangladesh,1,4
2111,1298175,2022-11-06,Adelaide Oval,Pakistan,Shaheen Shah Afridi,22,4,5.5,24,Bangladesh,1,4
2114,1298177,2022-11-09,Sydney Cricket Ground,Pakistan,Haris Rauf,32,1,8.0,24,New Zealand,1,4
2118,1298177,2022-11-09,Sydney Cricket Ground,Pakistan,Mohammad Nawaz,12,1,6.0,12,New Zealand,1,2
2119,1298177,2022-11-09,Sydney Cricket Ground,Pakistan,Mohammad Wasim,15,0,7.5,12,New Zealand,1,2
2120,1298177,2022-11-09,Sydney Cricket Ground,Pakistan,Naseem Shah,30,0,7.5,24,New Zealand,1,4
2121,1298177,2022-11-09,Sydney Cricket Ground,Pakistan,Shadab Khan,33,0,8.25,24,New Zealand,1,4
2122,1298177,2022-11-09,Sydney Cricket Ground,Pakistan,Shaheen Shah Afridi,24,2,6.0,24,New Zealand,1,4
2129,1298179,2022-11-13,Melbourne Cricket Ground,England,Haris Rauf,23,2,5.75,25,England,2,4
2130,1298179,2022-11-13,Melbourne Cricket Ground,England,Iftikhar Ahmed,13,0,13.0,5,England,2,1
2132,1298179,2022-11-13,Melbourne Cricket Ground,England,Mohammad Wasim,38,1,9.5,26,England,2,4
2133,1298179,2022-11-13,Melbourne Cricket Ground,England,Naseem Shah,30,0,7.5,25,England,2,4
2135,1298179,2022-11-13,Melbourne Cricket Ground,England,Shadab Khan,20,1,5.0,24,England,2,4
2136,1298179,2022-11-13,Melbourne Cricket Ground,England,Shaheen Shah Afridi,13,1,6.5,13,England,2,2
2137,1322334,2022-10-07,Hagley Oval,Pakistan,Haris Rauf,38,1,9.5,24,Bangladesh,2,4
2140,1322334,2022-10-07,Hagley Oval,Pakistan,Mohammad Nawaz,25,2,6.25,24,Bangladesh,2,4
2141,1322334,2022-10-07,Hagley Oval,Pakistan,Mohammad Wasim,24,3,6.0,28,Bangladesh,2,4
2145,1322334,2022-10-07,Hagley Oval,Pakistan,Shadab Khan,30,1,7.5,24,Bangladesh,2,4
2146,1322334,2022-10-07,Hagley Oval,Pakistan,Shahnawaz Dhani,24,1,6.0,24,Bangladesh,2,4
2149,1322335,2022-10-08,Hagley Oval,Pakistan,Haris Rauf,28,3,7.0,24,New Zealand,1,4
2151,1322335,2022-10-08,Hagley Oval,Pakistan,Iftikhar Ahmed,5,0,5.0,6,New Zealand,1,1
2154,1322335,2022-10-08,Hagley Oval,Pakistan,Mohammad Nawaz,44,2,11.0,24,New Zealand,1,4
2155,1322335,2022-10-08,Hagley Oval,Pakistan,Mohammad Wasim,20,2,5.0,24,New Zealand,1,4
2156,1322335,2022-10-08,Hagley Oval,Pakistan,Shadab Khan,21,0,5.25,24,New Zealand,1,4
2157,1322335,2022-10-08,Hagley Oval,Pakistan,Shahnawaz Dhani,22,1,7.33,18,New Zealand,1,3
2163,1322337,2022-10-11,Hagley Oval,New Zealand,Iftikhar Ahmed,14,0,14.0,7,New Zealand,2,1
2166,1322337,2022-10-11,Hagley Oval,New Zealand,Mohammad Nawaz,28,0,7.0,24,New Zealand,2,4
2167,1322337,2022-10-11,Hagley Oval,New Zealand,Mohammad Wasim,19,0,9.5,13,New Zealand,2,2
2168,1322337,2022-10-11,Hagley Oval,New Zealand,Naseem Shah,18,0,6.0,20,New Zealand,2,3
2169,1322337,2022-10-11,Hagley Oval,New Zealand,Shadab Khan,26,1,6.5,24,New Zealand,2,4
2170,1322337,2022-10-11,Hagley Oval,New Zealand,Shahnawaz Dhani,21,0,10.5,13,New Zealand,2,2
2173,1322339,2022-10-13,Hagley Oval,Pakistan,Iftikhar Ahmed,7,0,7.0,6,Bangladesh,1,1
2174,1322339,2022-10-13,Hagley Oval,Pakistan,Mohammad Hasnain,38,0,9.5,25,Bangladesh,1,4
2175,1322339,2022-10-13,Hagley Oval,Pakistan,Mohammad Nawaz,37,1,12.33,18,Bangladesh,1,3
2177,1322339,2022-10-13,Hagley Oval,Pakistan,Mohammad Wasim,33,3,8.25,25,Bangladesh,1,4
2178,1322339,2022-10-13,Hagley Oval,Pakistan,Naseem Shah,27,2,6.75,26,Bangladesh,1,4
2179,1322339,2022-10-13,Hagley Oval,Pakistan,Shadab Khan,31,0,7.75,25,Bangladesh,1,4
2185,1322340,2022-10-14,Hagley Oval,Pakistan,Haris Rauf,22,2,5.5,25,New Zealand,1,4
2188,1322340,2022-10-14,Hagley Oval,Pakistan,Mohammad Nawaz,33,1,8.25,24,New Zealand,1,4
2189,1322340,2022-10-14,Hagley Oval,Pakistan,Mohammad Wasim,37,0,9.25,24,New Zealand,1,4
2190,1322340,2022-10-14,Hagley Oval,Pakistan,Naseem Shah,38,3,9.5,24,New Zealand,1,4
2191,1322340,2022-10-14,Hagley Oval,Pakistan,Shadab Khan,30,1,7.5,24,New Zealand,1,4
2196,1327228,2022-09-20,National Stadium,England,Haris Rauf,23,1,5.75,24,England,2,4
2199,1327228,2022-09-20,National Stadium,England,Mohammad Nawaz,20,0,5.0,24,England,2,4
2200,1327228,2022-09-20,National Stadium,England,Naseem Shah,41,0,10.25,25,England,2,4
2203,1327228,2022-09-20,National Stadium,England,Shahnawaz Dhani,38,1,12.67,20,England,2,3
2204,1327228,2022-09-20,National Stadium,England,Usman Qadir,36,2,9.0,24,England,2,4
2207,1327229,2022-09-22,National Stadium,Pakistan,Haris Rauf,30,2,7.5,24,England,1,4
2211,1327229,2022-09-22,National Stadium,Pakistan,Mohammad Hasnain,51,0,12.75,25,England,1,4
2212,1327229,2022-09-22,National Stadium,Pakistan,Mohammad Nawaz,40,1,10.0,24,England,1,4
2214,1327229,2022-09-22,National Stadium,Pakistan,Shahnawaz Dhani,37,2,9.25,25,England,1,4
2215,1327229,2022-09-22,National Stadium,Pakistan,Usman Qadir,41,0,10.25,25,England,1,4
2217,1327230,2022-09-23,National Stadium,England,Haris Rauf,39,0,9.75,25,England,1,4
2221,1327230,2022-09-23,National Stadium,England,Mohammad Hasnain,36,1,9.0,26,England,1,4
2222,1327230,2022-09-23,National Stadium,England,Mohammad Nawaz,34,0,8.5,24,England,1,4
2225,1327230,2022-09-23,National Stadium,England,Shahnawaz Dhani,62,0,15.5,26,England,1,4
2226,1327230,2022-09-23,National Stadium,England,Usman Qadir,48,2,12.0,24,England,1,4
2229,1327231,2022-09-25,National Stadium,Pakistan,Haris Rauf,32,3,8.0,24,England,2,4
2230,1327231,2022-09-25,National Stadium,Pakistan,Iftikhar Ahmed,23,0,5.75,24,England,2,4
2232,1327231,2022-09-25,National Stadium,Pakistan,Mohammad Hasnain,40,2,10.0,25,England,2,4
2233,1327231,2022-09-25,National Stadium,Pakistan,Mohammad Nawaz,35,3,8.75,25,England,2,4
2234,1327231,2022-09-25,National Stadium,Pakistan,Mohammad Wasim,30,2,10.0,21,England,2,3
2238,1327232,2022-09-28,Gaddafi Stadium,Pakistan,Aamer Jamal,13,1,6.5,13,England,2,2
2241,1327232,2022-09-28,Gaddafi Stadium,Pakistan,Haris Rauf,41,2,10.25,25,England,2,4
2242,1327232,2022-09-28,Gaddafi Stadium,Pakistan,Iftikhar Ahmed,16,1,4.0,24,England,2,4
2244,1327232,2022-09-28,Gaddafi Stadium,Pakistan,Mohammad Nawaz,9,1,4.5,12,England,2,2
2245,1327232,2022-09-28,Gaddafi Stadium,Pakistan,Mohammad Wasim,32,1,8.0,26,England,2,4
2247,1327232,2022-09-28,Gaddafi Stadium,Pakistan,Shadab Khan,25,1,6.25,24,England,2,4
2249,1327233,2022-09-30,Gaddafi Stadium,England,Aamer Jamal,30,0,15.0,12,England,2,2
2251,1327233,2022-09-30,Gaddafi Stadium,England,Mohammad Nawaz,43,0,10.75,24,England,2,4
2252,1327233,2022-09-30,Gaddafi Stadium,England,Mohammad Wasim,29,0,14.5,16,England,2,2
2256,1327233,2022-09-30,Gaddafi Stadium,England,Shadab Khan,34,2,8.5,24,England,2,4
2257,1327233,2022-09-30,Gaddafi Stadium,England,Shahnawaz Dhani,33,0,16.5,13,England,2,2
2261,1327234,2022-10-02,Gaddafi Stadium,England,Haris Rauf,24,0,6.0,25,England,1,4
2262,1327234,2022-10-02,Gaddafi Stadium,England,Iftikhar Ahmed,34,1,8.5,24,England,1,4
2264,1327234,2022-10-02,Gaddafi Stadium,England,Mohammad Hasnain,32,2,8.0,26,England,1,4
2265,1327234,2022-10-02,Gaddafi Stadium,England,Mohammad Nawaz,12,0,12.0,6,England,1,1
2266,1327234,2022-10-02,Gaddafi Stadium,England,Mohammad Wasim,61,0,15.25,24,England,1,4
2269,1327234,2022-10-02,Gaddafi Stadium,England,Shadab Khan,39,0,13.0,20,England,1,3
2274,1327270,2022-08-28,Dubai International Cricket Stadium,India,Haris Rauf,35,0,8.75,26,India,2,4
2275,1327270,2022-08-28,Dubai International Cricket Stadium,India,Mohammad Nawaz,33,3,11.0,22,India,2,3
2276,1327270,2022-08-28,Dubai International Cricket Stadium,India,Naseem Shah,27,2,6.75,26,India,2,4
2278,1327270,2022-08-28,Dubai International Cricket Stadium,India,Shadab Khan,19,0,4.75,24,India,2,4
2279,1327270,2022-08-28,Dubai International Cricket Stadium,India,Shahnawaz Dhani,29,0,7.25,26,India,2,4
2284,1327274,2022-09-02,Sharjah Cricket Stadium,Pakistan,Haris Rauf,6,0,6.0,6,Hong Kong,2,1
2286,1327274,2022-09-02,Sharjah Cricket Stadium,Pakistan,Iftikhar Ahmed,3,0,3.0,6,Hong Kong,2,1
2288,1327274,2022-09-02,Sharjah Cricket Stadium,Pakistan,Mohammad Nawaz,5,3,2.5,13,Hong Kong,2,2
2289,1327274,2022-09-02,Sharjah Cricket Stadium,Pakistan,Naseem Shah,7,2,3.5,14,Hong Kong,2,2
2290,1327274,2022-09-02,Sharjah Cricket Stadium,Pakistan,Shadab Khan,8,4,4.0,17,Hong Kong,2,2
2291,1327274,2022-09-02,Sharjah Cricket Stadium,Pakistan,Shahnawaz Dhani,7,1,3.5,12,Hong Kong,2,2
2296,1327276,2022-09-04,Dubai International Cricket Stadium,Pakistan,Haris Rauf,38,2,9.5,26,India,1,4
2297,1327276,2022-09-04,Dubai International Cricket Stadium,Pakistan,Mohammad Hasnain,38,1,9.5,27,India,1,4
2298,1327276,2022-09-04,Dubai International Cricket Stadium,Pakistan,Mohammad Nawaz,25,1,6.25,24,India,1,4
2299,1327276,2022-09-04,Dubai International Cricket Stadium,Pakistan,Naseem Shah,45,1,11.25,24,India,1,4
2301,1327276,2022-09-04,Dubai International Cricket Stadium,Pakistan,Shadab Khan,31,2,7.75,25,India,1,4
2306,1327278,2022-09-07,Sharjah Cricket Stadium,Pakistan,Haris Rauf,26,2,6.5,24,Afghanistan,1,4
2307,1327278,2022-09-07,Sharjah Cricket Stadium,Pakistan,Mohammad Hasnain,34,1,8.5,27,Afghanistan,1,4
2309,1327278,2022-09-07,Sharjah Cricket Stadium,Pakistan,Mohammad Nawaz,23,1,5.75,24,Afghanistan,1,4
2311,1327278,2022-09-07,Sharjah Cricket Stadium,Pakistan,Naseem Shah,19,1,4.75,24,Afghanistan,1,4
2313,1327278,2022-09-07,Sharjah Cricket Stadium,Pakistan,Shadab Khan,27,1,6.75,24,Afghanistan,1,4
2317,1327280,2022-09-09,Dubai International Cricket Stadium,Sri Lanka,Haris Rauf,19,2,6.33,18,Sri Lanka,2,3
2318,1327280,2022-09-09,Dubai International Cricket Stadium,Sri Lanka,Hasan Ali,25,0,8.33,18,Sri Lanka,2,3
2320,1327280,2022-09-09,Dubai International Cricket Stadium,Sri Lanka,Mohammad Hasnain,21,2,7.0,18,Sri Lanka,2,3
2321,1327280,2022-09-09,Dubai International Cricket Stadium,Sri Lanka,Mohammad Nawaz,21,0,5.25,24,Sri Lanka,2,4
2324,1327280,2022-09-09,Dubai International Cricket Stadium,Sri Lanka,Usman Qadir,34,1,8.5,25,Sri Lanka,2,4
2328,1327281,2022-09-11,Dubai International Cricket Stadium,Sri Lanka,Haris Rauf,29,3,7.25,24,Sri Lanka,1,4
2329,1327281,2022-09-11,Dubai International Cricket Stadium,Sri Lanka,Iftikhar Ahmed,21,1,7.0,18,Sri Lanka,1,3
2331,1327281,2022-09-11,Dubai International Cricket Stadium,Sri Lanka,Mohammad Hasnain,41,0,10.25,25,Sri Lanka,1,4
2332,1327281,2022-09-11,Dubai International Cricket Stadium,Sri Lanka,Mohammad Nawaz,3,0,3.0,6,Sri Lanka,1,1
2333,1327281,2022-09-11,Dubai International Cricket Stadium,Sri Lanka,Naseem Shah,40,1,10.0,25,Sri Lanka,1,4
2336,1327281,2022-09-11,Dubai International Cricket Stadium,Sri Lanka,Shadab Khan,28,1,7.0,24,Sri Lanka,1,4
2339,1339614,2023-04-14,Gaddafi Stadium,Pakistan,Faheem Ashraf,17,1,8.5,12,New Zealand,2,2
2340,1339614,2023-04-14,Gaddafi Stadium,Pakistan,Haris Rauf,18,4,6.0,22,New Zealand,2,3
2342,1339614,2023-04-14,Gaddafi Stadium,Pakistan,Iftikhar Ahmed,10,0,5.0,12,New Zealand,2,2
2343,1339614,2023-04-14,Gaddafi Stadium,Pakistan,Imad Wasim,2,2,2.0,6,New Zealand,2,1
2347,1339614,2023-04-14,Gaddafi Stadium,Pakistan,Shadab Khan,29,1,9.67,18,New Zealand,2,3
2348,1339614,2023-04-14,Gaddafi Stadium,Pakistan,Shaheen Shah Afridi,11,1,5.5,14,New Zealand,2,2
2349,1339614,2023-04-14,Gaddafi Stadium,Pakistan,Zaman Khan,7,1,3.5,12,New Zealand,2,2
2352,1339615,2023-04-15,Gaddafi Stadium,Pakistan,Faheem Ashraf,23,0,11.5,12,New Zealand,2,2
2354,1339615,2023-04-15,Gaddafi Stadium,Pakistan,Haris Rauf,27,4,6.75,25,New Zealand,2,4
2355,1339615,2023-04-15,Gaddafi Stadium,Pakistan,Imad Wasim,19,1,6.33,19,New Zealand,2,3
2359,1339615,2023-04-15,Gaddafi Stadium,Pakistan,Shadab Khan,27,1,9.0,18,New Zealand,2,3
2360,1339615,2023-04-15,Gaddafi Stadium,Pakistan,Shaheen Shah Afridi,25,0,6.25,24,New Zealand,2,4
2361,1339615,2023-04-15,Gaddafi Stadium,Pakistan,Zaman Khan,30,1,7.5,26,New Zealand,2,4
2364,1339616,2023-04-17,Gaddafi Stadium,New Zealand,Faheem Ashraf,12,0,6.0,12,New Zealand,1,2
2365,1339616,2023-04-17,Gaddafi Stadium,New Zealand,Haris Rauf,31,2,7.75,26,New Zealand,1,4
2367,1339616,2023-04-17,Gaddafi Stadium,New Zealand,Imad Wasim,22,0,11.0,12,New Zealand,1,2
2370,1339616,2023-04-17,Gaddafi Stadium,New Zealand,Naseem Shah,30,0,7.5,24,New Zealand,1,4
2372,1339616,2023-04-17,Gaddafi Stadium,New Zealand,Shadab Khan,34,1,8.5,24,New Zealand,1,4
2373,1339616,2023-04-17,Gaddafi Stadium,New Zealand,Shaheen Shah Afridi,33,2,8.25,25,New Zealand,1,4
