,antecedents,consequents,confidence,lift,jaccard_coefficient,kulczynski_measure,confidence_norm,lift_norm,jaccard_coefficient_norm,kulczynski_measure_norm,score
6028,"frozenset({'Shadab Khan', 'Over: 4', 'West Indies'})",frozenset({'Won'}),1.0,1.5506329113924051,0.0189873417721519,0.8224489795918367,1.0,0.06756756756756756,0.07384366568187094,1.0,0.628909856461318
4961,"frozenset({'Shadab Khan', 'West Indies', 'Economy: 0-6'})",frozenset({'Won'}),1.0,1.5506329113924051,0.01687763713080169,0.8224489795918367,1.0,0.06756756756756756,0.05917314523468296,1.0,0.6245087003271617
997,"frozenset({'Shadab Khan', 'Bangladesh'})",frozenset({'Won'}),1.0,1.5506329113924051,0.01476793248945148,0.8224489795918367,1.0,0.06756756756756756,0.044502624787494977,1.0,0.6201075441930053
9039,"frozenset({'Shadab Khan', 'Over: 4', 'West Indies', 'Economy: 0-6'})",frozenset({'Won'}),1.0,1.5506329113924051,0.01476793248945148,0.8224489795918367,1.0,0.06756756756756756,0.044502624787494977,1.0,0.6201075441930053
5378,"frozenset({'Shadab Khan', 'Wickets: 2-3', 'Economy: 6-8'})",frozenset({'Won'}),1.0,1.5506329113924051,0.01476793248945148,0.8224489795918367,1.0,0.06756756756756756,0.044502624787494977,1.0,0.6201075441930053
7890,"frozenset({'Shadab Khan', '2nd Inning', 'West Indies', 'Economy: 0-6'})",frozenset({'Won'}),1.0,1.5506329113924051,0.012658227848101267,0.8224489795918367,1.0,0.06756756756756756,0.02983210434030697,1.0,0.6157063880588488
4661,"frozenset({'Shadab Khan', 'Over: 4', 'Bangladesh'})",frozenset({'Won'}),1.0,1.5506329113924051,0.012658227848101267,0.8224489795918367,1.0,0.06756756756756756,0.02983210434030697,1.0,0.6157063880588488
9267,"frozenset({'Shadab Khan', 'Wickets: 2-3', 'Over: 4', 'Economy: 6-8'})",frozenset({'Won'}),1.0,1.5506329113924051,0.012658227848101267,0.8224489795918367,1.0,0.06756756756756756,0.02983210434030697,1.0,0.6157063880588488
6520,"frozenset({'Shadab Khan', 'Wickets: 0-1', '1st Inning', 'Economy: 0-6'})",frozenset({'Won'}),1.0,1.5506329113924051,0.012658227848101267,0.8224489795918367,1.0,0.06756756756756756,0.02983210434030697,1.0,0.6157063880588488
2032,"frozenset({'Shadab Khan', 'Bangladesh', '1st Inning'})",frozenset({'Won'}),1.0,1.5506329113924051,0.012658227848101267,0.8224489795918367,1.0,0.06756756756756756,0.02983210434030697,1.0,0.6157063880588488
7896,"frozenset({'Shadab Khan', '2nd Inning', 'Economy: 0-6', 'Wickets: 2-3'})",frozenset({'Won'}),1.0,1.5506329113924051,0.010548523206751056,0.8224489795918367,1.0,0.06756756756756756,0.015161583893118974,1.0,0.6113052319246924
8784,"frozenset({'Shadab Khan', '2nd Inning', 'West Indies', 'Over: 4'})",frozenset({'Won'}),1.0,1.5506329113924051,0.010548523206751056,0.8224489795918367,1.0,0.06756756756756756,0.015161583893118974,1.0,0.6113052319246924
6098,"frozenset({'Shadab Khan', 'Wickets: 2-3', 'West Indies'})",frozenset({'Won'}),1.0,1.5506329113924051,0.010548523206751056,0.8224489795918367,1.0,0.06756756756756756,0.015161583893118974,1.0,0.6113052319246924
6278,"frozenset({'Shadab Khan', 'Bangladesh', '1st Inning', 'Over: 4'})",frozenset({'Won'}),1.0,1.5506329113924051,0.010548523206751056,0.8224489795918367,1.0,0.06756756756756756,0.015161583893118974,1.0,0.6113052319246924
9942,"frozenset({'Shadab Khan', '2nd Inning', 'Wickets: 2-3', 'Over: 4', 'Economy: 0-6'})",frozenset({'Won'}),1.0,1.5506329113924051,0.010548523206751056,0.8224489795918367,1.0,0.06756756756756756,0.015161583893118974,1.0,0.6113052319246924
9928,"frozenset({'Shadab Khan', '2nd Inning', 'West Indies', 'Over: 4', 'Economy: 0-6'})",frozenset({'Won'}),1.0,1.5506329113924051,0.010548523206751056,0.8224489795918367,1.0,0.06756756756756756,0.015161583893118974,1.0,0.6113052319246924
9423,"frozenset({'Shadab Khan', 'Wickets: 2-3', 'West Indies', 'Over: 4'})",frozenset({'Won'}),1.0,1.5506329113924051,0.010548523206751056,0.8224489795918367,1.0,0.06756756756756756,0.015161583893118974,1.0,0.6113052319246924
9550,"frozenset({'Shadab Khan', '1st Inning', 'Over: 4', 'Wickets: 0-1', 'Economy: 0-6'})",frozenset({'Won'}),1.0,1.5506329113924051,0.010548523206751056,0.8224489795918367,1.0,0.06756756756756756,0.015161583893118974,1.0,0.6113052319246924
4605,"frozenset({'Shadab Khan', 'Bangladesh', 'Economy: 6-8'})",frozenset({'Won'}),1.0,1.5506329113924051,0.008438818565400845,0.8224489795918367,1.0,0.06756756756756756,0.0004910634459309789,1.0,0.606904075790536
10128,"frozenset({'Shadab Khan', 'Wickets: 2-3', 'West Indies', 'Over: 4', 'Economy: 0-6'})",frozenset({'Won'}),1.0,1.5506329113924051,0.008438818565400845,0.8224489795918367,1.0,0.06756756756756756,0.0004910634459309789,1.0,0.606904075790536
4966,"frozenset({'Shadab Khan', 'Economy: 0-6', 'Wickets: 3+'})",frozenset({'Won'}),1.0,1.5506329113924051,0.008438818565400845,0.8224489795918367,1.0,0.06756756756756756,0.0004910634459309789,1.0,0.606904075790536
9677,"frozenset({'Shadab Khan', 'Wickets: 2-3', '1st Inning', 'Economy: 6-8', 'Over: 4'})",frozenset({'Won'}),1.0,1.5506329113924051,0.008438818565400845,0.8224489795918367,1.0,0.06756756756756756,0.0004910634459309789,1.0,0.606904075790536
6846,"frozenset({'Shadab Khan', 'Wickets: 2-3', '1st Inning', 'Economy: 6-8'})",frozenset({'Won'}),1.0,1.5506329113924051,0.008438818565400845,0.8224489795918367,1.0,0.06756756756756756,0.0004910634459309789,1.0,0.606904075790536
7899,"frozenset({'Shadab Khan', '2nd Inning', 'Economy: 0-6', 'Wickets: 3+'})",frozenset({'Won'}),1.0,1.5506329113924051,0.008438818565400845,0.8224489795918367,1.0,0.06756756756756756,0.0004910634459309789,1.0,0.606904075790536
8885,"frozenset({'Shadab Khan', 'Bangladesh', 'Over: 4', 'Economy: 6-8'})",frozenset({'Won'}),1.0,1.5506329113924051,0.008438818565400845,0.8224489795918367,1.0,0.06756756756756756,0.0004910634459309789,1.0,0.606904075790536
2993,"frozenset({'Shadab Khan', 'West Indies', '1st Inning'})",frozenset({'Won'}),1.0,1.5506329113924051,0.008438818565400845,0.8224489795918367,1.0,0.06756756756756756,0.0004910634459309789,1.0,0.606904075790536
7348,"frozenset({'Shadab Khan', 'West Indies', '1st Inning', 'Over: 4'})",frozenset({'Won'}),1.0,1.5506329113924051,0.008438818565400845,0.8224489795918367,1.0,0.06756756756756756,0.0004910634459309789,1.0,0.606904075790536
4672,"frozenset({'Shadab Khan', 'Wickets: 0-1', 'Bangladesh'})",frozenset({'Won'}),1.0,1.5506329113924051,0.008438818565400845,0.8224489795918367,1.0,0.06756756756756756,0.0004910634459309789,1.0,0.606904075790536
9078,"frozenset({'Shadab Khan', 'Wickets: 2-3', 'West Indies', 'Economy: 0-6'})",frozenset({'Won'}),1.0,1.5506329113924051,0.008438818565400845,0.8224489795918367,1.0,0.06756756756756756,0.0004910634459309789,1.0,0.606904075790536
9944,"frozenset({'Shadab Khan', '2nd Inning', 'Economy: 0-6', 'Wickets: 2-3'})","frozenset({'Over: 4', 'Won'})",1.0,2.5085324232081914,0.017064846416382253,0.6993197278911565,1.0,0.1510469513882483,0.06047496616173717,0.7744548286604362,0.5655836335854768
