,antecedents,consequents,confidence,lift,jaccard_coefficient,kulczynski_measure,confidence_norm,lift_norm,jaccard_coefficient_norm,kulczynski_measure_norm,score
7194,"frozenset({'Shadab Khan', 'Over: 4', '1st Inning', 'Sri Lanka'})",frozenset({'Lost'}),0.7999999999999999,2.2528735632183907,0.015267175572519087,0.5775510204081632,0.5999999999999999,0.06075949367088606,0.0009347250350522036,0.7485029940119758,0.410907265081197
5846,"frozenset({'Shadab Khan', 'Over: 4', 'Sri Lanka'})",frozenset({'Lost'}),0.7999999999999999,2.2528735632183907,0.015267175572519087,0.5775510204081632,0.5999999999999999,0.06075949367088606,0.0009347250350522036,0.7485029940119758,0.410907265081197
5084,"frozenset({'Shadab Khan', 'Over: 3', 'Economy: 10+'})",frozenset({'Lost'}),0.7999999999999999,2.2528735632183907,0.015267175572519087,0.5775510204081632,0.5999999999999999,0.06075949367088606,0.0009347250350522036,0.7485029940119758,0.410907265081197
9145,"frozenset({'Wickets: 0-1', 'Shadab Khan', 'Over: 3', 'Economy: 10+'})",frozenset({'Lost'}),0.7999999999999999,2.2528735632183907,0.015267175572519087,0.5775510204081632,0.5999999999999999,0.06075949367088606,0.0009347250350522036,0.7485029940119758,0.410907265081197
9148,"frozenset({'Shadab Khan', 'Over: 3', 'Economy: 10+'})","frozenset({'Wickets: 0-1', 'Lost'})",0.7999999999999999,2.8133971291866025,0.019047619047619046,0.5421768707482992,0.5999999999999999,0.10107201259766212,0.021379980563654023,0.6595380667236952,0.394382615445971
7197,"frozenset({'Shadab Khan', 'Over: 4', 'Sri Lanka'})","frozenset({'1st Inning', 'Lost'})",0.7999999999999999,5.764705882352941,0.038834951456310676,0.4693877551020408,0.5999999999999999,0.3133283693224125,0.1283931048147414,0.47647562018819495,0.39279345443312214
9866,"frozenset({'Shadab Khan', '2nd Inning', 'Over: 4', 'Wickets: 0-1', 'Economy: 0-6'})",frozenset({'Lost'}),0.7500000000000001,2.112068965517242,0.02281368821292776,0.5525510204081633,0.5000000000000002,0.0506329113924051,0.0417474974780787,0.6856287425149701,0.37327616313715517
1414,"frozenset({'Shadab Khan', 'England'})",frozenset({'Lost'}),0.6666666666666667,1.877394636015326,0.022727272727272735,0.5108843537414967,0.3333333333333335,0.03375527426160339,0.041280148423005605,0.5808383233532936,0.2900110689590501
5091,"frozenset({'Shadab Khan', 'Wickets: 0-1', 'Economy: 10+'})",frozenset({'Lost'}),0.6666666666666667,1.877394636015326,0.022727272727272735,0.5108843537414967,0.3333333333333335,0.03375527426160339,0.041280148423005605,0.5808383233532936,0.2900110689590501
5643,"frozenset({'Shadab Khan', 'Wickets: 0-1', 'England'})",frozenset({'Lost'}),0.6666666666666665,1.8773946360153253,0.015209125475285171,0.5108843537414965,0.33333333333333304,0.03375527426160334,0.0006207806316442916,0.5808383233532932,0.2778132586216415
